code,year,pays,y
31,1989,Japan,1.57
31,1990,Japan,1.52
31,1991,Japan,1.53
31,1992,Japan,1.5
31,1993,Japan,1.46
31,1994,Japan,1.49
31,1995,Japan,1.42
31,1996,Japan,1.43
31,1997,Japan,1.39
31,1998,Japan,1.38
31,1999,Japan,1.34
31,2000,Japan,1.37
31,2001,Japan,1.33
31,2002,Japan,1.32
31,2003,Japan,1.29
31,2004,Japan,1.29
31,2005,Japan,1.27
31,2006,Japan,1.32
31,2007,Japan,1.34
31,2008,Japan,1.37
31,2009,Japan,1.37
31,2010,Japan,1.39
31,2011,Japan,1.39
31,2012,Japan,1.41
31,2013,Japan,1.43
31,2014,Japan,1.42
31,2015,Japan,1.44
31,2016,Japan,1.43
31,2017,Japan,1.35
31,2018,Japan,1.33
31,2019,Japan,1.29
31,2020,Japan,1.29
31,2021,Japan,1.3
31,2022,Japan,1.3
47,1950,Portugal,3.16
47,1951,Portugal,3.19
47,1952,Portugal,3.22
47,1953,Portugal,3.06
47,1954,Portugal,2.98
47,1955,Portugal,3.14
47,1956,Portugal,3.03
47,1957,Portugal,3.15
47,1958,Portugal,3.16
47,1959,Portugal,3.16
47,1960,Portugal,3.16
47,1961,Portugal,3.2
47,1962,Portugal,3.23
47,1963,Portugal,3.13
47,1964,Portugal,3.21
47,1965,Portugal,3.15
47,1966,Portugal,3.16
47,1967,Portugal,3.16
47,1968,Portugal,3.12
47,1969,Portugal,3.12
47,1970,Portugal,3.01
47,1971,Portugal,3
47,1972,Portugal,2.86
47,1973,Portugal,2.76
47,1974,Portugal,2.7
47,1975,Portugal,2.75
47,1976,Portugal,2.81
47,1977,Portugal,2.68
47,1978,Portugal,2.44
47,1979,Portugal,2.31
47,1980,Portugal,2.24
47,1981,Portugal,2.13
47,1982,Portugal,2.07
47,1983,Portugal,1.95
47,1984,Portugal,1.9
47,1985,Portugal,1.73
47,1986,Portugal,1.66
47,1987,Portugal,1.62
47,1988,Portugal,1.61
47,1989,Portugal,1.57
47,1990,Portugal,1.56
47,1991,Portugal,1.56
47,1992,Portugal,1.54
47,1993,Portugal,1.51
47,1994,Portugal,1.45
47,1995,Portugal,1.41
47,1996,Portugal,1.44
47,1997,Portugal,1.47
47,1998,Portugal,1.47
47,1999,Portugal,1.5
47,2000,Portugal,1.54
47,2001,Portugal,1.46
47,2002,Portugal,1.46
47,2003,Portugal,1.44
47,2004,Portugal,1.41
47,2005,Portugal,1.41
47,2006,Portugal,1.37
47,2007,Portugal,1.35
47,2008,Portugal,1.39
47,2009,Portugal,1.35
47,2010,Portugal,1.39
47,2011,Portugal,1.34
47,2012,Portugal,1.28
47,2013,Portugal,1.21
47,2014,Portugal,1.23
47,2015,Portugal,1.3
47,2016,Portugal,1.36
47,2017,Portugal,1.38
47,2018,Portugal,1.41
47,2019,Portugal,1.42
47,2020,Portugal,1.39
47,2021,Portugal,1.36
47,2022,Portugal,1.37
61,1950,Turkey,6.47
61,1951,Turkey,6.47
61,1952,Turkey,6.47
61,1953,Turkey,6.48
61,1954,Turkey,6.47
61,1955,Turkey,6.46
61,1956,Turkey,6.46
61,1957,Turkey,6.45
61,1958,Turkey,6.43
61,1959,Turkey,6.42
61,1960,Turkey,6.38
61,1961,Turkey,6.35
61,1962,Turkey,6.29
61,1963,Turkey,6.22
61,1964,Turkey,6.13
61,1965,Turkey,6.03
61,1966,Turkey,5.93
61,1967,Turkey,5.8
61,1968,Turkey,5.75
61,1969,Turkey,5.69
61,1970,Turkey,5.62
61,1971,Turkey,5.55
61,1972,Turkey,5.46
61,1973,Turkey,5.36
61,1974,Turkey,5.23
61,1975,Turkey,5.07
61,1976,Turkey,4.92
61,1977,Turkey,4.76
61,1978,Turkey,4.67
61,1979,Turkey,4.56
61,1980,Turkey,4.43
61,1981,Turkey,4.31
61,1982,Turkey,4.17
61,1983,Turkey,4.02
61,1984,Turkey,3.89
61,1985,Turkey,3.75
61,1986,Turkey,3.63
61,1987,Turkey,3.5
61,1988,Turkey,3.39
61,1989,Turkey,3.28
61,1990,Turkey,3.13
61,1991,Turkey,3.05
61,1992,Turkey,2.94
61,1993,Turkey,2.9
61,1994,Turkey,2.85
61,1995,Turkey,2.79
61,1996,Turkey,2.79
61,1997,Turkey,2.72
61,1998,Turkey,2.67
61,1999,Turkey,2.59
61,2000,Turkey,2.51
61,2001,Turkey,2.53
61,2002,Turkey,2.32
61,2003,Turkey,2.23
61,2004,Turkey,2.22
61,2005,Turkey,2.22
61,2006,Turkey,2.23
61,2007,Turkey,2.19
61,2008,Turkey,2.18
61,2009,Turkey,2.16
61,2010,Turkey,2.14
61,2011,Turkey,2.13
61,2012,Turkey,2.15
61,2013,Turkey,2.16
61,2014,Turkey,2.2
61,2015,Turkey,2.19
61,2016,Turkey,2.18
61,2017,Turkey,2.14
61,2018,Turkey,2.05
61,2019,Turkey,1.97
61,2020,Turkey,1.92
61,2021,Turkey,1.89
61,2022,Turkey,1.88
64,1950,USA,2.93
64,1951,USA,3.11
64,1952,USA,3.21
64,1953,USA,3.28
64,1954,USA,3.39
64,1955,USA,3.44
64,1956,USA,3.54
64,1957,USA,3.61
64,1958,USA,3.57
64,1959,USA,3.58
64,1960,USA,3.55
64,1961,USA,3.52
64,1962,USA,3.39
64,1963,USA,3.27
64,1964,USA,3.14
64,1965,USA,2.86
64,1966,USA,2.66
64,1967,USA,2.52
64,1968,USA,2.44
64,1969,USA,2.43
64,1970,USA,2.47
64,1971,USA,2.26
64,1972,USA,2.01
64,1973,USA,1.87
64,1974,USA,1.83
64,1975,USA,1.77
64,1976,USA,1.74
64,1977,USA,1.78
64,1978,USA,1.76
64,1979,USA,1.8
64,1980,USA,1.83
64,1981,USA,1.81
64,1982,USA,1.82
64,1983,USA,1.8
64,1984,USA,1.8
64,1985,USA,1.84
64,1986,USA,1.83
64,1987,USA,1.87
64,1988,USA,1.93
64,1989,USA,2.01
64,1990,USA,2.07
64,1991,USA,2.05
64,1992,USA,2.04
64,1993,USA,2.01
64,1994,USA,1.99
64,1995,USA,1.97
64,1996,USA,1.97
64,1997,USA,1.97
64,1998,USA,1.99
64,1999,USA,2.01
64,2000,USA,2.05
64,2001,USA,2.03
64,2002,USA,2.02
64,2003,USA,2.04
64,2004,USA,2.05
64,2005,USA,2.06
64,2006,USA,2.1
64,2007,USA,2.11
64,2008,USA,2.07
64,2009,USA,2
64,2010,USA,1.93
64,2011,USA,1.89
64,2012,USA,1.88
64,2013,USA,1.86
64,2014,USA,1.86
64,2015,USA,1.84
64,2016,USA,1.81
64,2017,USA,1.76
64,2018,USA,1.72
64,2019,USA,1.69
64,2020,USA,1.64
64,2021,USA,1.66
64,2022,USA,1.66
65,1950,Argentina,3.16
65,1951,Argentina,3.16
65,1952,Argentina,3.16
65,1953,Argentina,3.15
65,1954,Argentina,3.14
65,1955,Argentina,3.14
65,1956,Argentina,3.15
65,1957,Argentina,3.17
65,1958,Argentina,3.11
65,1959,Argentina,3.09
65,1960,Argentina,3.07
65,1961,Argentina,3.07
65,1962,Argentina,3.11
65,1963,Argentina,3.1
65,1964,Argentina,3.08
65,1965,Argentina,3.06
65,1966,Argentina,3.05
65,1967,Argentina,3.04
65,1968,Argentina,3.03
65,1969,Argentina,3.05
65,1970,Argentina,3.09
65,1971,Argentina,3.11
65,1972,Argentina,3.15
65,1973,Argentina,3.2
65,1974,Argentina,3.25
65,1975,Argentina,3.3
65,1976,Argentina,3.34
65,1977,Argentina,3.36
65,1978,Argentina,3.36
65,1979,Argentina,3.34
65,1980,Argentina,3.3
65,1981,Argentina,3.25
65,1982,Argentina,3.2
65,1983,Argentina,3.16
65,1984,Argentina,3.12
65,1985,Argentina,3.1
65,1986,Argentina,3.08
65,1987,Argentina,3.06
65,1988,Argentina,3.04
65,1989,Argentina,3.02
65,1990,Argentina,3.03
65,1991,Argentina,3.01
65,1992,Argentina,2.99
65,1993,Argentina,2.97
65,1994,Argentina,2.94
65,1995,Argentina,2.86
65,1996,Argentina,2.78
65,1997,Argentina,2.71
65,1998,Argentina,2.66
65,1999,Argentina,2.64
65,2000,Argentina,2.59
65,2001,Argentina,2.53
65,2002,Argentina,2.49
65,2003,Argentina,2.45
65,2004,Argentina,2.43
65,2005,Argentina,2.43
65,2006,Argentina,2.4
65,2007,Argentina,2.37
65,2008,Argentina,2.34
65,2009,Argentina,2.34
65,2010,Argentina,2.35
65,2011,Argentina,2.34
65,2012,Argentina,2.33
65,2013,Argentina,2.32
65,2014,Argentina,2.31
65,2015,Argentina,2.3
65,2016,Argentina,2.24
65,2017,Argentina,2.17
65,2018,Argentina,2.04
65,2019,Argentina,1.99
65,2020,Argentina,1.91
65,2021,Argentina,1.89
65,2022,Argentina,1.88
67,1950,Taiwan,6.57
67,1951,Taiwan,6.64
67,1952,Taiwan,6.68
67,1953,Taiwan,6.67
67,1954,Taiwan,6.64
67,1955,Taiwan,6.57
67,1956,Taiwan,6.47
67,1957,Taiwan,6.32
67,1958,Taiwan,6.15
67,1959,Taiwan,5.95
67,1960,Taiwan,5.8
67,1961,Taiwan,5.67
67,1962,Taiwan,5.54
67,1963,Taiwan,5.38
67,1964,Taiwan,5.2
67,1965,Taiwan,4.99
67,1966,Taiwan,4.77
67,1967,Taiwan,4.53
67,1968,Taiwan,4.34
67,1969,Taiwan,4.15
67,1970,Taiwan,3.95
67,1971,Taiwan,3.69
67,1972,Taiwan,3.42
67,1973,Taiwan,3.23
67,1974,Taiwan,3.07
67,1975,Taiwan,2.97
67,1976,Taiwan,2.99
67,1977,Taiwan,2.78
67,1978,Taiwan,2.71
67,1979,Taiwan,2.65
67,1980,Taiwan,2.54
67,1981,Taiwan,2.45
67,1982,Taiwan,2.32
67,1983,Taiwan,2.18
67,1984,Taiwan,2.04
67,1985,Taiwan,1.89
67,1986,Taiwan,1.76
67,1987,Taiwan,1.74
67,1988,Taiwan,1.78
67,1989,Taiwan,1.75
67,1990,Taiwan,1.77
67,1991,Taiwan,1.75
67,1992,Taiwan,1.75
67,1993,Taiwan,1.77
67,1994,Taiwan,1.77
67,1995,Taiwan,1.77
67,1996,Taiwan,1.76
67,1997,Taiwan,1.71
67,1998,Taiwan,1.57
67,1999,Taiwan,1.53
67,2000,Taiwan,1.46
67,2001,Taiwan,1.39
67,2002,Taiwan,1.32
67,2003,Taiwan,1.25
67,2004,Taiwan,1.19
67,2005,Taiwan,1.14
67,2006,Taiwan,1.12
67,2007,Taiwan,1.09
67,2008,Taiwan,1.05
67,2009,Taiwan,.99
67,2010,Taiwan,.91
67,2011,Taiwan,1.03
67,2012,Taiwan,1.13
67,2013,Taiwan,1.12
67,2014,Taiwan,1.16
67,2015,Taiwan,1.17
67,2016,Taiwan,1.16
67,2017,Taiwan,1.13
67,2018,Taiwan,1.1
67,2019,Taiwan,1.09
67,2020,Taiwan,1.1
67,2021,Taiwan,1.11
67,2022,Taiwan,1.13
68,1950,Republic of Korea,5.97
68,1951,Republic of Korea,5.96
68,1952,Republic of Korea,5.94
68,1953,Republic of Korea,6.03
68,1954,Republic of Korea,6.07
68,1955,Republic of Korea,6.11
68,1956,Republic of Korea,6.15
68,1957,Republic of Korea,6.19
68,1958,Republic of Korea,6.16
68,1959,Republic of Korea,6.07
68,1960,Republic of Korea,5.95
68,1961,Republic of Korea,5.81
68,1962,Republic of Korea,5.62
68,1963,Republic of Korea,5.41
68,1964,Republic of Korea,5.19
68,1965,Republic of Korea,5
68,1966,Republic of Korea,4.81
68,1967,Republic of Korea,4.63
68,1968,Republic of Korea,4.49
68,1969,Republic of Korea,4.47
68,1970,Republic of Korea,4.41
68,1971,Republic of Korea,4.25
68,1972,Republic of Korea,4.07
68,1973,Republic of Korea,3.89
68,1974,Republic of Korea,3.68
68,1975,Republic of Korea,3.41
68,1976,Republic of Korea,3.18
68,1977,Republic of Korea,3
68,1978,Republic of Korea,2.78
68,1979,Republic of Korea,2.74
68,1980,Republic of Korea,2.72
68,1981,Republic of Korea,2.63
68,1982,Republic of Korea,2.44
68,1983,Republic of Korea,2.17
68,1984,Republic of Korea,1.93
68,1985,Republic of Korea,1.75
68,1986,Republic of Korea,1.66
68,1987,Republic of Korea,1.59
68,1988,Republic of Korea,1.57
68,1989,Republic of Korea,1.58
68,1990,Republic of Korea,1.6
68,1991,Republic of Korea,1.67
68,1992,Republic of Korea,1.7
68,1993,Republic of Korea,1.67
68,1994,Republic of Korea,1.65
68,1995,Republic of Korea,1.63
68,1996,Republic of Korea,1.58
68,1997,Republic of Korea,1.55
68,1998,Republic of Korea,1.49
68,1999,Republic of Korea,1.45
68,2000,Republic of Korea,1.42
